MessageType,Seconds,Nanoseconds,r,theta,color,Latitude,Longitude,Position.x,Position.y,Position.z,Orientation.x,Orientation.y,Orientation.z,Orientation.w,LinearAccel.x,LinearAccel.y,LinearAccel.z,LeftFrontSpeed,LeftBackSpeed,RightFrontSpeed,RightBackSpeed
Imu,215,786000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0770569376016808,0.0520677547214304,9.853630263358218,,,,
Imu,215,787000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.000498582340224,0.0845031825809486,9.826586198663115,,,,
Imu,215,788000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0894753325122066,0.001609567352127,9.7600806499584,,,,
CarState,215,789000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,789000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0248416965812911,0.0140299450634544,9.708228006752432,,,,
WheelSpeeds,215,789000000,,,,,,,,,,,,,,,,997.9509887695312,-0.3055576980113983,997.8458862304688,-1.304627776145935
Imu,215,790000000,,,,,,,,,4.4317769453680736e-08,-9.689063646556107e-06,7.467354819138703e-10,0.99999999995306,-0.0553828916272679,0.0293562363238927,9.676543630592542,,,,
Imu,215,791000000,,,,,,,,,4.43177695000323e-08,-9.689063646554837e-06,7.46735494318226e-10,0.99999999995306,0.0603165348658279,-0.011155809032045,9.791966046365738,,,,
Imu,215,792000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0434781814709934,0.0750731845746613,9.791609994986608,,,,
Imu,215,793000000,,,,,,,,,4.431776959054464e-08,-9.689063646536072e-06,7.467355183923464e-10,0.99999999995306,0.0864245774127408,-0.0031503531872946,9.85285206859276,,,,
CarState,215,794000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,794000000,,,,,,,,,4.4317769636158036e-08,-9.689063646533776e-06,7.467355306037293e-10,0.99999999995306,-0.0300080793527174,-0.0042337052574253,9.697676858666654,,,,
WheelSpeeds,215,794000000,,,,,,,,,,,,,,,,998.866943359375,0.1975543051958084,998.5203247070312,0.0275677815079689
Imu,215,795000000,,,,,,,,,4.4317769678547535e-08,-9.689063646536238e-06,7.467355418989311e-10,0.99999999995306,-0.1215694648966706,-0.1025104530696701,9.722947691407963,,,,
Imu,215,796000000,,,,,,,,,4.431776972383141e-08,-9.689063646536144e-06,7.467355540671501e-10,0.99999999995306,0.1227328234825307,-0.0691121663843468,9.711205269190488,,,,
Imu,215,797000000,,,,,,,,,4.4317769767743175e-08,-9.689063646537872e-06,7.467355657952761e-10,0.99999999995306,0.1746757839422589,0.027293775085586,9.759326965578976,,,,
Imu,215,798000000,,,,,,,,,4.43177698121896e-08,-9.68906364654114e-06,7.467355776641868e-10,0.99999999995306,0.1010134745983871,0.0716392858040725,9.801705351786229,,,,
CarState,215,799000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,799000000,,,,,,,,,4.431776985690658e-08,-9.689063646539082e-06,7.467355896766806e-10,0.99999999995306,0.0468049427200577,0.0618747488568151,9.917143967616044,,,,
WheelSpeeds,215,799000000,,,,,,,,,,,,,,,,998.9837646484376,-0.1516456604003906,997.5706787109376,-0.9434888958930968
GPS,215,800000000,,,,55.944519294217855,-3.1865138342775143,,,,,,,,,,,,,,
Imu,215,800000000,,,,,,,,,0.0,0.0,0.0,1.0,0.1005740137763073,0.0520656703590806,9.80858976295806,,,,
Imu,215,801000000,,,,,,,,,4.4317769946748276e-08,-9.689063646540271e-06,7.467356136217413e-10,0.99999999995306,0.0243369191865922,-0.1060971616023482,9.89512110977889,,,,
Imu,215,802000000,,,,,,,,,4.431776999049261e-08,-9.689063646541498e-06,7.467356253126578e-10,0.99999999995306,-0.0266077260180054,-0.0196705074474981,9.7450218191287,,,,
Imu,215,803000000,,,,,,,,,4.431777003472633e-08,-9.689063646541825e-06,7.467356371328594e-10,0.99999999995306,0.0969010215589886,0.04396955835366,9.748076133662746,,,,
CarState,215,804000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,804000000,,,,,,,,,4.431777007979921e-08,-9.68906364654e-06,7.467356492238286e-10,0.99999999995306,-0.0661634791454638,-0.049753406195675,9.794437381789963,,,,
WheelSpeeds,215,804000000,,,,,,,,,,,,,,,,996.7940063476562,0.2461015284061432,998.1441650390624,-0.3482463955879211
Imu,215,805000000,,,,,,,,,4.431777012542857e-08,-9.68906364654701e-06,7.467356612388095e-10,0.99999999995306,0.0563525381121614,-0.0106451415946886,9.806460379869472,,,,
Imu,215,806000000,,,,,,,,,4.4317770171188594e-08,-9.689063646541452e-06,7.467356735132378e-10,0.99999999995306,0.0289640429439776,0.0783014936867206,9.841411854976112,,,,
Imu,215,807000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0128474782259066,-0.0122158418905426,9.915013608260397,,,,
Imu,215,808000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0043598897635626,0.0659294735246008,9.794444254565164,,,,
CarState,215,809000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,809000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0386572214898054,-0.0235044590000968,9.6808549818423,,,,
WheelSpeeds,215,809000000,,,,,,,,,,,,,,,,999.9549560546876,-0.2299670428037643,997.510986328125,-0.6037361025810242
Imu,215,810000000,,,,,,,,,4.431777035100288e-08,-9.689063646530144e-06,7.467357213839251e-10,0.99999999995306,-0.1288356469345717,0.0490605549276791,9.913047042702082,,,,
Imu,215,811000000,,,,,,,,,4.43177703974001e-08,-9.689063646524816e-06,7.467357338000294e-10,0.99999999995306,0.0746140840982606,-0.0583158187907853,9.833873012662457,,,,
Imu,215,812000000,,,,,,,,,4.4317770442415155e-08,-9.689063646523553e-06,7.46735745775767e-10,0.99999999995306,-0.1435982714309484,0.0457915071355272,9.825456746080157,,,,
Imu,215,813000000,,,,,,,,,4.43177704873728e-08,-9.68906364652935e-06,7.467357577574814e-10,0.99999999995306,0.053938539313744,-0.0101498874966275,9.804714505903624,,,,
CarState,215,814000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,814000000,,,,,,,,,0.0,0.0,0.0,1.0,0.1064576139495586,0.0467445518703328,9.821989827509311,,,,
WheelSpeeds,215,814000000,,,,,,,,,,,,,,,,999.1782836914062,0.7991642355918884,1000.4633178710938,0.510149359703064
Imu,215,815000000,,,,,,,,,4.431777057718178e-08,-9.689063646534996e-06,7.467357816650178e-10,0.99999999995306,0.091492783458357,-0.1012637961837743,9.932143095201283,,,,
Imu,215,816000000,,,,,,,,,4.431777062365319e-08,-9.689063646534191e-06,7.467357940983203e-10,0.99999999995306,0.0140184391779033,0.0765064399585849,9.748917890886291,,,,
Imu,215,817000000,,,,,,,,,4.4317770668628293e-08,-9.689063646533178e-06,7.467358060648025e-10,0.99999999995306,0.039626511910149,-0.001651000124387,9.84247446144308,,,,
Cones,215,818000000,13.126186595236913,0.2235342047239072,2.0,,,,,,,,,,,,,,,,
Cones,215,818000000,9.41925244353731,0.3283296145903255,2.0,,,,,,,,,,,,,,,,
Cones,215,818000000,6.699982303834601,0.4256485277800044,2.0,,,,,,,,,,,,,,,,
Cones,215,818000000,2.218681712334563,1.4744587060058123,2.0,,,,,,,,,,,,,,,,
Cones,215,818000000,12.956502624626872,-0.1516807299854449,1.0,,,,,,,,,,,,,,,,
Cones,215,818000000,9.118120781893978,-0.1966631290739601,1.0,,,,,,,,,,,,,,,,
Cones,215,818000000,6.322971141101483,-0.3018117779327698,1.0,,,,,,,,,,,,,,,,
Cones,215,818000000,2.802786856133494,-1.311402521637239,1.0,,,,,,,,,,,,,,,,
Cones,215,818000000,3.553478630190426,-0.5492323259399913,0.0,,,,,,,,,,,,,,,,
Cones,215,818000000,3.874200852985488,-0.5111122898815026,0.0,,,,,,,,,,,,,,,,
Cones,215,818000000,4.043883957105511,0.730320712909151,0.0,,,,,,,,,,,,,,,,
Cones,215,818000000,4.316555900771284,0.6633836211405421,0.0,,,,,,,,,,,,,,,,
Imu,215,818000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0627974343100677,-0.0207537263985198,9.716450228062186,,,,
CarState,215,819000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,819000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0605757825367087,0.0247173495852526,9.874600277911831,,,,
WheelSpeeds,215,819000000,,,,,,,,,,,,,,,,997.4151000976562,0.4200624227523803,997.650634765625,1.4312787055969238
Imu,215,820000000,,,,,,,,,4.4317770803721486e-08,-9.68906364654213e-06,7.467358420293111e-10,0.99999999995306,-0.0300327813879417,-0.0828733418880152,9.775185606427575,,,,
Imu,215,821000000,,,,,,,,,4.431777084975053e-08,-9.68906364653882e-06,7.467358543637912e-10,0.99999999995306,-0.1683911681056215,0.0678264186553946,9.656273235004427,,,,
Imu,215,822000000,,,,,,,,,4.431777089432496e-08,-9.689063646540056e-06,7.467358662414814e-10,0.99999999995306,-0.0005157438192264,0.1312993406665232,9.849482424191317,,,,
Imu,215,823000000,,,,,,,,,4.431777093965255e-08,-9.689063646538116e-06,7.467358783064881e-10,0.99999999995306,-0.0121900827660197,0.0718308128187942,9.864991620380785,,,,
CarState,215,824000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,824000000,,,,,,,,,0.0,0.0,0.0,1.0,0.1080520468364445,0.0301122566907075,9.808250176560096,,,,
WheelSpeeds,215,824000000,,,,,,,,,,,,,,,,998.3063354492188,0.2963348627090454,997.8605346679688,-1.5886753797531128
Imu,215,825000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0649423205125947,-0.0211454727612973,9.9630349533018,,,,
Imu,215,826000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0125456076116049,-0.003337092682902,9.944148129359672,,,,
Imu,215,827000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0076955636120874,-0.039973810824252,9.840159610737707,,,,
Imu,215,828000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0835387164626108,-0.0113979036922195,9.705313842528035,,,,
CarState,215,829000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,829000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0525552853408291,-0.0051919110428213,9.725651883018768,,,,
WheelSpeeds,215,829000000,,,,,,,,,,,,,,,,997.6861572265624,0.17336505651474,1000.5637817382812,-0.4212128818035126
Imu,215,830000000,,,,,,,,,4.4317771251266656e-08,-9.68906364654944e-06,7.467359615331696e-10,0.99999999995306,-0.0332695412701192,0.0119842881483275,9.815087208105334,,,,
Imu,215,831000000,,,,,,,,,4.431777129683074e-08,-9.689063646549358e-06,7.467359737672936e-10,0.99999999995306,-0.1147958455498421,0.0299149153587826,9.80786993041828,,,,
Imu,215,832000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0450603326840396,-0.0487128364410164,9.689449316992144,,,,
Imu,215,833000000,,,,,,,,,0.0,0.0,0.0,1.0,0.1863454777151617,-0.0095605239346721,9.68217479905724,,,,
CarState,215,834000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,834000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0927615919041008,-0.0009715665464755,9.732269134370222,,,,
WheelSpeeds,215,834000000,,,,,,,,,,,,,,,,998.5279541015624,0.2252231389284134,1000.0816650390624,-0.174648642539978
Imu,215,835000000,,,,,,,,,4.431777147329973e-08,-9.689063646553312e-06,7.46736020902253e-10,0.99999999995306,0.091039066049723,-0.0823294957817029,9.8835056846349,,,,
Imu,215,836000000,,,,,,,,,0.0,0.0,0.0,1.0,0.095878993910944,0.0225195015490871,9.635260374513551,,,,
Imu,215,837000000,,,,,,,,,4.431777156382709e-08,-9.689063646551249e-06,7.467360450988238e-10,0.99999999995306,0.1327763234882201,-0.07162750883165,9.769843120824998,,,,
Imu,215,838000000,,,,,,,,,4.431777160837656e-08,-9.689063646555028e-06,7.467360569925557e-10,0.99999999995306,0.0168842113381744,0.072253501441575,9.891695712551154,,,,
CarState,215,839000000,,,,,,0.0,0.0,0.2577076865598949,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,839000000,,,,,,,,,0.0,0.0,0.0,1.0,0.2044492216193032,-0.1470478380632293,9.679386685451664,,,,
WheelSpeeds,215,839000000,,,,,,,,,,,,,,,,998.2130737304688,0.3287725746631622,998.485107421875,0.1087375879287719
Imu,215,840000000,,,,,,,,,4.431777169838402e-08,-9.689063646552926e-06,7.467360809493692e-10,0.99999999995306,0.1126872211912755,0.020065011281697,9.75245501633807,,,,
Imu,215,841000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0304500001621509,-0.2148901275165295,9.698298874963834,,,,
Imu,215,842000000,,,,,,,,,4.4317771789354335e-08,-9.689063646532568e-06,7.467361052458682e-10,0.99999999995306,-0.0273604990833219,0.0262723729689238,9.70405020119122,,,,
Imu,215,843000000,,,,,,,,,4.431777183416143e-08,-9.689063646533597e-06,7.467361171969852e-10,0.99999999995306,-0.0316207237951682,-0.0445629591054696,9.888334277376924,,,,
CarState,215,844000000,,,,,,0.0,0.0,0.257707686559895,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,844000000,,,,,,,,,4.4317771879918747e-08,-9.689063646531764e-06,7.467361294415733e-10,0.99999999995306,0.0340588384759003,0.0608575132945627,9.761020565996237,,,,
WheelSpeeds,215,844000000,,,,,,,,,,,,,,,,998.99951171875,0.0026962554547935,1000.3675537109376,-0.2478584498167038
Imu,215,845000000,,,,,,,,,4.4317771924453516e-08,-9.68906364653127e-06,7.46736141215874e-10,0.99999999995306,-0.0732710136134158,-0.1109277349882679,9.791486225041972,,,,
Imu,215,846000000,,,,,,,,,4.431777197080876e-08,-9.68906364653047e-06,7.467361536252907e-10,0.99999999995306,0.0353296651621182,0.2212115940386277,9.731782100790792,,,,
Imu,215,847000000,,,,,,,,,4.4317772015273904e-08,-9.689063646531704e-06,7.467361654799748e-10,0.99999999995306,0.0951876262352406,0.0384267130190432,9.675308180510337,,,,
Imu,215,848000000,,,,,,,,,4.4317772060173036e-08,-9.689063646532504e-06,7.46736177451035e-10,0.99999999995306,0.1238636059884973,-0.0929078482838637,9.745216838511768,,,,
CarState,215,849000000,,,,,,0.0,0.0,0.257707686559895,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,849000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0132237872558955,-0.0095731950558852,9.620531628132634,,,,
WheelSpeeds,215,849000000,,,,,,,,,,,,,,,,999.071044921875,-0.4872706234455108,999.1775512695312,0.753406286239624
Imu,215,850000000,,,,,,,,,4.4317772150395584e-08,-9.689063646534698e-06,7.467362014573262e-10,0.99999999995306,0.0337958410493639,-0.0588990123026975,9.72981484795325,,,,
